StateCd,SrvcDstrctNm,ActvPrtcpnts,PrjctdPrtcpnts_Jun25,PrjctdPrtcpnts_Jun26,PrjctdPrtcpnts_Jun27,PrjctdPrtcpnts_Jun28,PrjctdPrtcpnts_Jun29,PrjctdPrtcpnts_Jun30,PrjctdPrtcpnts_Jun31,PrjctdPrtcpnts_Jun32,PrjctdPrtcpnts_Jun33,PrjctdPrtcpnts_Jun34
NSW,ALL,"196,868","213,400","224,300","229,000","233,700","242,700","251,700","261,000","270,600","280,500","290,600"
VIC,ALL,"177,010","194,800","206,900","214,400","222,500","230,600","240,500","250,800","261,400","272,100","282,700"
QLD,ALL,"142,291","156,000","165,900","173,300","180,700","186,900","194,000","201,900","209,900","218,100","226,000"
SA,ALL,"56,790","61,200","64,200","65,900","66,900","68,900","71,100","73,300","75,600","77,900","80,100"
WA,ALL,"57,135","61,900","66,000","69,500","73,600","76,800","79,800","83,100","86,600","90,200","94,100"
TAS,ALL,"14,145","15,300","16,200","16,900","17,400","17,700","18,300","18,800","19,400","19,900","20,600"
ACT,ALL,"10,930","11,500","11,800","11,600","11,800","12,300","12,800","13,300","13,800","14,400","15,000"
NT,ALL,"6,000","7,500","8,500","9,200","9,800","10,300","10,800","11,300","11,800","12,300","12,700"
OT,ALL,75,100,100,100,100,100,100,100,100,100,100
UNK,ALL,23,0,0,0,0,0,0,0,0,0,0
ALL,ALL,"661,267","721,584","763,858","789,922","816,389","846,447","879,080","913,559","949,204","985,458","1,021,947"
